,ts,Inst,Dir,Size,Prx
0,1734721637470,BTC-28FEB25-106000-C,sell,0.5,0.0605
1,1734721517303,BTC-31JAN25-95000-P,buy,0.5,0.0525
2,1734721271962,BTC-31JAN25-90000-P,buy,1.0,0.034
3,1734721271854,BTC-31JAN25-100000-C,buy,1.0,0.077
4,1734689619223,BTC-23DEC24-100000-C,sell,1.0,0.0001
5,1734688812117,BTC-PERPETUAL,buy,13980.0,94751.5
6,1734688812117,BTC-PERPETUAL,buy,1000.0,94657.5
7,1734660466328,BTC-PERPETUAL,sell,40.0,95685.5
8,1734660455958,BTC-PERPETUAL,sell,70.0,95661.5
9,1734660440401,BTC-PERPETUAL,sell,320.0,95675.5
